Date,Platform,Daily_Active_Users,New_Registrations,Session_Duration,In_Game_Purchases,Social_Media_Mentions,Stream_Viewership,Revenue,Top_Genre
2022-04-13,PC,83827,14220,26.26,60773,7116,102871,85399,Action
2021-03-17,PC,89930,13231,19.41,43500,6582,38513,43988,Action
2019-03-09,VR,1668,11155,14.8,52179,5572,3846,17522,Simulation
2021-03-31,Console,36226,13290,76.78,25085,6619,14232,10645,RPG
2021-02-04,Mobile,108563,13069,15.81,55277,6555,92597,119461,Action
2022-05-05,PC,74910,14373,27.71,28237,7088,49577,16086,Simulation
2018-05-25,PC,66864,10426,22.55,36333,5123,45511,15990,RPG
2021-07-24,Console,47920,13558,38.36,65921,6828,16665,23996,FPS
2022-05-10,VR,2163,14227,22.58,22325,7060,3349,6511,Simulation
2018-04-20,VR,1588,10345,21.4,36817,5232,2840,11567,Action
2019-11-19,Console,55295,11882,69.01,52149,6098,20371,28415,Adventure
2023-02-15,VR,2125,15067,33.35,31595,7557,7898,12232,FPS
2021-08-11,PC,53429,13616,23.75,23486,6815,37429,28526,FPS
2021-11-14,Mobile,86548,13916,33.84,30379,6923,75627,25307,FPS
2020-09-26,VR,2060,12769,32.35,48950,6406,7056,24987,FPS
2022-02-17,Mobile,109158,14086,23.79,63632,7022,69135,94923,Simulation
2018-05-26,Console,36814,10406,44.9,18870,5240,11845,9180,FPS
2024-10-18,Console,63300,16783,36.3,44902,8376,16703,35771,Simulation
2022-10-29,VR,1602,14800,14.41,44015,7419,8827,21146,RPG
2023-08-02,Console,72069,15558,63.86,54522,7709,16126,38901,Simulation
2024-10-10,PC,57042,16787,42.49,59918,8127,71510,74781,FPS
2019-07-17,Mobile,75723,11571,18.05,54297,5759,71455,63264,FPS
2021-03-06,PC,56017,13150,25.2,51660,6631,98185,52732,FPS
2024-06-29,Mobile,109126,16522,19.71,54178,8329,94925,63443,RPG
2021-05-21,VR,1587,13382,16.92,47489,6657,7426,15772,Simulation
2024-10-16,PC,101819,16805,41.38,73957,8375,38596,133096,Action
2019-05-06,VR,1836,11319,23.89,24818,5731,6892,6543,Simulation
2023-08-23,VR,3085,15643,24.29,39457,7741,3399,15103,Adventure
2022-07-06,Console,51024,14487,61.34,31328,7248,11787,21058,Simulation
2024-01-21,VR,2611,16073,19.31,23360,8171,4740,6012,Adventure
2018-03-22,Mobile,87918,10261,43.22,30693,5112,43105,49610,Simulation
2019-11-01,Console,33732,11818,45.95,49647,5886,13779,19184,RPG
2021-03-02,Mobile,108994,13183,42.39,14218,6651,51305,37579,FPS
2021-05-22,Mobile,124797,13409,12.48,46211,6745,42151,25685,FPS
2023-09-14,PC,73491,15714,42.65,73395,7826,59806,83589,FPS
2020-04-14,Mobile,80974,12285,22.3,39952,6166,58894,71891,Simulation
2021-10-29,Mobile,125008,13769,16.28,55037,6846,59999,81906,Simulation
2018-03-04,VR,1398,10205,17.71,37270,5080,4989,10947,FPS
2020-09-20,Mobile,126597,12815,20.06,33580,6312,41925,36689,RPG
2022-07-16,Console,49882,14561,75.64,29263,7307,20095,8882,Adventure
2021-10-18,VR,2645,13842,17.27,56306,6836,2850,10260,Adventure
2018-01-09,VR,2144,10027,18.7,17995,5127,4327,8266,Adventure
2023-09-22,Console,74231,15728,37.83,57586,7669,29439,49289,Action
2019-01-14,Mobile,77612,11044,17.64,53784,5396,30030,86713,FPS
