Date,Platform,Daily_Active_Users,New_Registrations,Session_Duration,In_Game_Purchases,Social_Media_Mentions,Stream_Viewership,Revenue,Top_Genre
2022-04-13,PC,142204 ,14220 ,31 ,60773 ,7116 ,85080 ,87378 ,Action
2021-03-17,PC,132314 ,13231 ,23 ,43500 ,6582 ,64188 ,41132 ,Action
2019-03-09,VR,111557 ,11155 ,34 ,52179 ,5572 ,34386 ,71787 ,Simulation
2021-03-31,Console,132909 ,13290 ,81 ,25085 ,6619 ,43130 ,18640 ,RPG
2021-02-04,Mobile,130694 ,13069 ,37 ,55277 ,6555 ,69341 ,63850 ,Action
2022-05-05,PC,143731 ,14373 ,49 ,28237 ,7088 ,65183 ,17344 ,Simulation
2018-05-25,PC,104264 ,10426 ,52 ,36333 ,5123 ,29589 ,20798 ,RPG
2021-07-24,Console,135586 ,13558 ,59 ,65921 ,6828 ,55361 ,36328 ,FPS
2022-05-10,VR,142277 ,14227 ,67 ,22325 ,7060 ,30575 ,17591 ,Simulation
2018-04-20,VR,103451 ,10345 ,64 ,36817 ,5232 ,44474 ,23876 ,Action
2019-11-19,Console,118823 ,11882 ,65 ,52149 ,6098 ,70906 ,40590 ,Adventure
2023-02-15,VR,150676 ,15067 ,73 ,31595 ,7557 ,77165 ,38317 ,FPS
2021-08-11,PC,136165 ,13616 ,41 ,23486 ,6815 ,36804 ,28222 ,FPS
2021-11-14,Mobile,139165 ,13916 ,62 ,30379 ,6923 ,86424 ,22253 ,FPS
2020-09-26,VR,127692 ,12769 ,82 ,48950 ,6406 ,75725 ,59524 ,FPS
2022-02-17,Mobile,140860 ,14086 ,50 ,63632 ,7022 ,63435 ,61733 ,Simulation
2018-05-26,Console,104063 ,10406 ,60 ,18870 ,5240 ,63321 ,11896 ,FPS
2024-10-18,Console,167831 ,16783 ,32 ,44902 ,8376 ,47773 ,43133 ,Simulation
2022-10-29,VR,148008 ,14800 ,50 ,44015 ,7419 ,90092 ,60820 ,RPG
2023-08-02,Console,155583 ,15558 ,58 ,54522 ,7709 ,67560 ,63051 ,Simulation
2024-10-10,PC,167874 ,16787 ,57 ,59918 ,8127 ,61094 ,65060 ,FPS
2019-07-17,Mobile,115716 ,11571 ,43 ,54297 ,5759 ,69722 ,58460 ,FPS
2021-03-06,PC,131505 ,13150 ,32 ,51660 ,6631 ,89785 ,62149 ,FPS
2024-06-29,Mobile,165226 ,16522 ,60 ,54178 ,8329 ,95170 ,44621 ,RPG
2021-05-21,VR,133828 ,13382 ,58 ,47489 ,6657 ,79107 ,52397 ,Simulation
2024-10-16,PC,168059 ,16805 ,47 ,73957 ,8375 ,34791 ,105005 ,Action
2019-05-06,VR,113195 ,11319 ,43 ,24818 ,5731 ,56372 ,19974 ,Simulation
2023-08-23,VR,156435 ,15643 ,51 ,39457 ,7741 ,42007 ,34547 ,Adventure
2022-07-06,Console,144874 ,14487 ,60 ,31328 ,7248 ,32114 ,41055 ,Simulation
