Genre,Average Units Sold
Tactical Shooter,1600000
Hero Shooter,1100000
MOBA,786000
Battle Royale,380000
4X Strategy,201000
Arena Shooter,187000
Simulation Racing,183000
MMORPG,181000
Action RPG,178000
Survival Craft,170000
Tabletop (General),143000
Shooter (General),124000
Grand Strategy,114000
Fighting,111000
Real-Time Strategy,110000
Action-Adventure,109000
Sandbox,102000
Simulation Sports,94590
City Builder,87522
Vehicular Shooter,85128
Card Battler,82561
Colony Sim,82019
Hack & Slash,80388
Hunting & Fishing Simulator,74125
Driving & Flight Simulator,71174
Simulation (General),70059
Metroidvania,54596
Job Simulator,53024
Social Party,52995
Arcade Racing,50859
Strategy (General),50597
Poker,50523
Turn-Based RPG,48344
Action (General),47779
Arcade Sports,45871
Survival Horror,41418
Life Simulator,39069
Beat 'em Up,38470
Tactics,35509
Tycoon & Management,33412
Sports Manager,31880
Idler & Clicker,30893
Board,30171
Tower Defense,29563
Adventure (General),27113
RPG (General),26407
Dating,25986
Kart Racing,24981
Deckbuilder,23713
Music & Rhythm,23093
Shoot 'em Up,21404
Lifestyle (General),21230
Point & Click Adventure,20026
Platformer,16999
Puzzle (General),15147
Visual Novel,13663
Card,13358
Arcade (General),12144
Racing (General),11077
Sports (General),9853
Casino (General),3943
