1,Open World;RPG;Fantasy,The Elder Scrolls V: Skyrim,287411,287411
2,Hero Shooter;Multiplayer;FPS,Team Fortress 2,101789,253997
3,Platformer;Puzzle;FPS,Portal 2,98460,98460
4,Shooter;FPS;Action,Counter-Strike: Source,87340,100056
6,Action;FPS;Multiplayer,Counter-Strike,83905,319586
7,Simulation;Sports;Management,Football Manager 2012,68774,77630
8,Open World Survival Craft;Sandbox;Survival,Terraria,57842,489886
9,Action;FPS;Zombies,Call of Duty: Black Ops - Multiplayer,57682,118593
10,Cyberpunk;Stealth;RPG,Deus Ex: Human Revolution,56010,56010
12,Action;FPS;Multiplayer,Call of Duty: Modern Warfare 2 (2009) - Multiplayer,43305,112874
13,Strategy;Historical;Turn-Based Strategy,Total War: SHOGUN 2,38517,54115
14,Zombies;Open World;Co-op,Dead Island,35906,35906
15,Turn-Based Strategy;Strategy;Turn-Based,Sid Meier's Civilization V,35122,91363
16,Simulation;Sports;Management,Football Manager 2011,34997,34997
17,FPS;Zombies;Co-op,Killing Floor,24107,24107
18,Multiplayer;Online Co-Op;Tower Defense,Dungeon Defenders,21862,21862
19,Zombies;Co-op;FPS,Left 4 Dead 2,20375,162399
21,Strategy;RTS;Medieval,Dragon Age II (Retired),19324,19324
22,Action;FPS;Zombies,Call of Duty: Black Ops,18163,63343
24,Superhero;MMORPG;MMO,DC Universe Online,17701,17701
27,Open World;RPG;Post-apocalyptic,Fallout: New Vegas,15937,51038
29,Character Customization;Cinematic;Story Rich,Warhammer 40000: Space Marine - Anniversary Edition,15653,15653
30,MMORPG;RPG;Fantasy,RIFT,15546,15546
32,Character Customization;Cinematic;Story Rich,Warhammer 40000: Dawn of War II - Retribution,15143,15143
34,MMO;RPG;Adventure,Spiral Knights,13143,13143
35,Puzzle;Puzzle-Platformer;FPS,Portal,12179,20672
36,Open World;Multiplayer;Action,APB Reloaded,11813,11813
37,Strategy;Historical;Military,Total War: EMPIRE - Definitive Edition,11345,27559
38,Sandbox;Moddable;Multiplayer,Garry's Mod,10735,73863
41,Comedy;Co-op;Action,Magicka,9526,11727
42,RPG;Fantasy;Mature,The Witcher 2: Assassins of Kings Enhanced Edition,9390,12884
44,Medieval;RPG;Open World,Mount & Blade: Warband,9320,33054
46,Open World;Action;Comedy,Saints Row: The Third,9135,34371
47,Strategy;Turn-Based Strategy;Classic,Might & Magic: Heroes VI,9047,9047
49,Action;FPS;Sci-fi,Crysis 2,8476,8476
51,Action Roguelike;Rogue-like;Indie,The Binding of Isaac,7956,12575
53,Strategy;Historical;Turn-Based Strategy,Total War: SHOGUN 2 Demo,7486,7486
54,Action;Open World;Crime,Mafia II (Classic),7478,29474
56,Shooter;Action;FPS,Counter-Strike: Condition Zero,7354,32748
57,Shooter;Action;FPS,Homefront,7206,7206
60,Action;FPS;Multiplayer,Call of Duty: Modern Warfare 2 (2009),6684,22614
62,RPG;Open World;Fantasy,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),6390,6390
63,Strategy;Historical;Grand Strategy,Total War: NAPOLEON - Definitive Edition,6222,9935
65,FPS;World War II;Multiplayer,Day of Defeat: Source,6104,7507
66,Tower Defense;FPS;Co-op,Sanctum,6017,7380
69,FPS;Action;Multiplayer,America's Army 3,5735,5735
72,Simulation;Sports;Management,Football Manager 2010,5277,24343
74,Precision Platformer;Platformer;Difficult,Super Meat Boy,5153,5153
76,FPS;Action;Co-op,PAYDAY: The Heist,5046,50316
78,Horror;Gore;Psychological Horror,Amnesia: The Dark Descent,4737,5666
81,RPG;Action RPG;Hack and Slash,Torchlight,4582,6217
85,Gore;Open World;Action,Grand Theft Auto IV: The Complete Edition,4303,11696
90,Open World;Action;Sandbox,Just Cause 2,4071,7547
91,Post-apocalyptic;FPS;Atmospheric,Metro 2033,4013,14743
94,Action;Open World;Adventure,Assassin's Creed Brotherhood,3848,3848
95,RPG;Sci-fi;Story Rich,Mass Effect 2 (2010),3793,13320
98,Zombies;Co-op;Multiplayer,Left 4 Dead,3620,30616
99,RPG;Sci-fi;Story Rich,Mass Effect (2007),3577,4183
100,Great Soundtrack;Indie;Action,Bastion,3563,4186
103,FPS;Action;Sci-fi,Half-Life 2,3375,64085
105,Action;Adventure;Hack and Slash,Darksiders,3263,3929
106,RPG;Vampire;Cult Classic,Vampire: The Masquerade - Bloodlines,3251,3251
107,Character Customization;Cinematic;Story Rich,Warhammer 40000: Space Marine Demo,3239,3239
110,Action;Open World;Parkour,Assassin's Creed Revelations,3105,3105
111,Open World;FPS;Post-apocalyptic,F.E.A.R. 3,3090,3090
112,Simulation;Trains;Singleplayer,Train Simulator Classic,3080,3821
117,Puzzle Platformer;Indie;Puzzle,LIMBO,2957,27466
119,Simulation;Strategy;City Builder,Stronghold 3,2844,2844
123,Action;Adventure;Stealth,Tom Clancy's Splinter Cell: Conviction,2688,3856
124,Action;Adventure;Indie,Trine,2659,2659
125,Action;Racing;Post-apocalyptic,Post Apocalyptic Mayhem,2608,2608
126,Action;Adventure;Pirates,Assassin's Creed II,2527,3617
127,Action;Adventure;Horror,Dead Space 2,2484,2484
128,Action;Indie;RPG,E.Y.E: Divine Cybermancy,2481,2481
129,Adventure;RPG;JRPG,Wings of Prey,2474,2474
130,Casual;Indie;Action,The Wonderful End of the World,2454,2454
131,Action;Indie;FPS,Serious Sam 3: BFE,2439,2439
132,Action;RPG;Stealth,Alpha Protocol,2427,2427
133,Simulation;Sports;Management,Football Manager 2009,2393,24738
136,Action;Adventure;Stealth,Batman: Arkham Asylum GOTY Edition,2315,6739
137,Action;Adventure;Horror,Dead Space (2008),2305,2305
139,Action;Platformer;Comedy,Psychonauts,2283,4531
140,Character Customization;Cinematic;Story Rich,Warhammer 40000: Dawn of War II - Anniversary Edition,2276,18862
141,RPG;Fantasy;Story Rich,Dragon Age: Origins - Ultimate Edition,2250,8364
142,Action;FPS;Sci-fi,Crysis,2237,2237
144,Action;Strategy;World War II,Company of Heroes - Legacy Edition,2161,3344
145,Action;Indie;Co-op,Bunch Of Heroes,2115,2115
146,Action;Adventure;Casual,Solar 2,2053,2739
147,Indie;Strategy;Turn-Based,Frozen Synapse,2041,2155
148,Sports;Strategy;Multiplayer,Blood Bowl: Legendary Edition,2035,2035
149,Strategy;City Builder;Simulation,Anno 2070,2028,11217
151,Strategy;2D;Turn-Based,Worms Reloaded,2009,7814
152,Action;Adventure;Indie,Trine 2,1996,3755
153,Action;Open World;Destruction,Red Faction: Guerrilla Steam Edition,1994,5613
154,Action;RPG;Fantasy,The Witcher: Enhanced Edition,1982,12685
155,Indie;Simulation;Puzzle,SpaceChem,1962,1962
156,Action;FPS;Multiplayer,Half-Life 2: Deathmatch,1959,2702
157,Action;Adventure;RPG,R.U.S.E,1954,5018
158,Simulation;Strategy;City Builder,Tropico 3: Absolute Power,1947,1947
159,Simulation;Strategy;City Builder,Tropico 4,1942,10892
160,RPG;Open World;Post-apocalyptic,Fallout 3 - Game of the Year Edition,1924,11471
162,Action;Strategy;World War II,Company of Heroes: Tales of Valor,1917,2945
163,RPG;Indie;Capitalism,Recettear: An Item Shop's Tale,1902,2986
164,Action;Massively Multiplayer;RPG,EVE Online,1865,10627
165,Action;Simulation;Space,X3: Albion Prelude,1863,1917
166,Action;RPG;Hack and Slash,Titan Quest,1853,1853
167,RPG;Fantasy;Story Rich,Dragon Age: Origins,1849,7089
168,Simulation;Strategy;City Builder,SimCity 4 Deluxe,1817,5206
169,Action;Open World;FPS,Far Cry 2,1811,2420
170,Action;RPG;Co-op,The Lord of the Rings: War in the North,1806,4664
171,Racing;Combat Racing;Sports,Need for Speed: Hot Pursuit,1790,3005
174,Strategy;RTS;Historical,Rome: Total War,1741,4413
176,Action;FPS;PvP,Tom Clancy's Rainbow Six: Vegas 2,1734,1734
177,Strategy;Turn-Based Strategy;Fantasy,Heroes of Might & Magic V,1720,1720
178,Action;FPS;Multiplayer,Call of Duty 4: Modern Warfare (2007),1716,1796
179,Strategy;Medieval;Historical,Total War: MEDIEVAL II - Definitive Edition,1711,8453
180,Action;FPS;Aliens,Aliens vs. Predator,1707,3794
181,Indie;RPG;Rhythm,Before the Echo,1694,1694
182,Action;Massively Multiplayer;MOBA,Bloodline Champions,1667,1667
183,Action;Adventure;Action-Adventure,Mirror's Edge,1666,3805
185,Massively Multiplayer;RPG;MMO,EverQuest II,1611,1611
186,Action;Adventure;Gore,Bulletstorm,1601,3208
187,Action;Platformer;Great Soundtrack,Sonic Generations,1579,1686
188,Action;Open World;Crime,Grand Theft Auto: San Andreas,1564,3387
189,Shooter;Action;FPS,Insurgency: Modern Infantry Combat,1542,2533
190,Action;Open World;Automobile Sim,Grand Theft Auto: Episodes from Liberty City,1541,3013
191,Action;RPG;Comedy,Magicka - Demo,1535,1535
192,Action;Co-op;Multiplayer,Alien Swarm,1534,60467
193,RPG;Open World;Fantasy,Two Worlds II HD,1515,10863
195,Character Customization;Cinematic;Story Rich,Warhammer 40000: Dawn of War II - Chaos Rising,1494,8132
196,Action;Sniper;FPS,Sniper: Ghost Warrior,1479,1586
197,Action;Adventure;Massively Multiplayer,Dungeons,1475,1475
198,Action;Adventure;Pirates,Assassin's Creed,1468,1468
199,Action;Open World;Character Customization,Saints Row 2,1452,6509
200,Action;Western;FPS,Call of Juarez: Bound in Blood,1444,1444
201,Action;Simulation;Strategy,X3: Terran Conflict,1442,1442
202,Adventure;Strategy;Detective,L.A. Noire,1436,5115
203,Action;Strategy;RTS,Company of Heroes: Opposing Fronts,1426,1426
204,Action;FPS;Multiplayer,Battlefield 2,1399,1399
206,Action;Adventure;Open World,Bully: Scholarship Edition,1379,2010
207,Strategy;4X;Space,Sword of the Stars II: Enhanced Edition,1379,1379
208,Shooter;Action;Multiplayer,Star Wars: Battlefront 2 (Classic 2005),1360,4789
209,Racing;Multiplayer;Automobile Sim,TrackMania United Forever,1345,1345
210,Action;FPS;Classic,Half-Life,1335,33471
212,Simulation;Strategy;Grand Strategy,Europa Universalis III,1315,1315
213,Action;FPS;Sci-fi,Half-Life 2: Episode Two,1308,1419
214,Strategy;World War II;War,Men of War: Assault Squad,1305,1490
215,Action;FPS;World War II,Day of Defeat,1303,7758
216,Adventure;Massively Multiplayer;RPG,Guild Wars,1297,1297
217,Action;Casual;Touch-Friendly,Flight Control HD,1266,1266
219,Action;Destruction;Sci-fi,Red Faction: Armageddon,1229,1839
220,Action;Simulation;Strategy,Arma 2,1218,1935
221,Action;Indie;FPS,Serious Sam HD: The First Encounter,1214,1214
223,Action;Adventure;Open World,Prototype,1194,1570
224,Simulation;Flight;World War II,IL-2 Sturmovik: Cliffs of Dover,1185,1185
225,Action;Zombies;Co-op,Dead Rising 2,1184,2812
226,Action;Zombies;World War II,Call of Duty: World at War,1183,4825
227,Simulation;Management;Strategy,Cities in Motion,1170,1170
228,Shooter;Action;FPS,HOMEFRONT Demo,1139,1139
229,Action;Fighting;Arcade,Ultra Street Fighter IV,1134,5547
230,Action;FPS;Singleplayer,BioShock 2,1133,4635
231,Action;Adventure;Co-op,Resident Evil 5,1118,2585
232,Action;Indie;RPG,Mount & Blade,1113,1918
233,Action;RPG;Open World,Fallout: New Vegas PCR,1100,3897
234,Action;Simulation;Strategy,Arma 2: Operation Arrowhead,1083,19175
235,Action;Indie;Racing,Rock of Ages,1075,1371
237,RPG;Strategy;Turn-Based Strategy,Might & Magic: Clash of Heroes,1049,4757
239,Strategy;Turn-Based Strategy;Turn-Based,Sid Meier's Civilization IV,1029,2314
241,Action;RPG;FPS,BioShock,1016,2674
242,Strategy;4X;Space,Sword of the Stars Complete Collection,1005,1005
243,RPG;Villain Protagonist;Fantasy,Overlord II,999,1702
244,Indie;RPG;Strategy,GRID,992,4823
245,Strategy;RTS;Medieval,Age of Chivalry,983,2399
246,Action;RPG;Atmospheric,S.T.A.L.K.E.R.: Shadow of Chernobyl,979,3770
247,Action;Stealth;Assassin,Hitman: Blood Money,976,1138
248,Action;Adventure;Horror,Alice: Madness Returns,969,1245
249,Adventure;Casual;Massively Multiplayer,Puzzle Pirates,949,949
250,Massively Multiplayer;RPG;Sci-fi,Star Trek Online,937,7910
251,Racing;Multiplayer;Automobile Sim,TrackMania Nations Forever,929,1466
253,Strategy;Turn-Based Strategy;Turn-Based,Sid Meier's Civilization IV: Beyond the Sword,916,2791
254,Action;Adventure;RPG,S.T.A.L.K.E.R.: Call of Pripyat,904,1708
255,Action;Casual;Indie,Swords and Soldiers HD,901,1235
257,Strategy;Medieval;Historical,Medieval II: Total War Kingdoms,876,1728
258,Strategy;RTS;Sci-fi,Supreme Commander 2 - Demo,864,3265
259,Action;Indie;Racing,Zero Gear Demo,860,6203
260,Shooter;Action;FPS,Medal of Honor(TM) Single Player,839,2285
261,Card Battler;Deckbuilding;Card Game,Magic: The Gathering - Duels of the Planeswalkers,822,6650
262,Action;Adventure;Indie,Blur,817,1556
263,Racing;Automobile Sim;Simulation,RACE 07,807,1199
264,Action;Cyberpunk;RPG,Deus Ex: Game of the Year Edition,803,1102
265,Action;Indie;Pixel Graphics,VVVVVV,801,2174
266,Action;Adventure;RPG,F.E.A.R.,787,865
267,Strategy;Multiplayer;Funny,Worms Ultimate Mayhem,786,786
269,RPG;JRPG;Singleplayer,The Last Remnant,776,1544
270,Adventure;Indie;Point & Click,Machinarium,772,1279
271,Action;Indie;FPS,Serious Sam HD: The Second Encounter,771,6162
272,Action;FPS;Classic,Far Cry,763,1267
273,Indie;Strategy;RTS,AI War: Fleet Command,740,5027
274,Action;Open World;Automobile Sim,Grand Theft Auto: Vice City,727,1239
275,Action;Third-Person Shooter;Bullet Time,Max Payne,727,727
277,Racing;Simulation;Sports,DiRT 2,712,1832
279,Indie;Strategy;Relaxing,Eufloria,706,1459
280,Simulation;Strategy;World War II,Hearts of Iron III,699,1551
281,Action;FPS;Sci-fi,Half-Life 2: Episode One,685,1132
282,RPG;Villain Protagonist;Hack and Slash,Overlord,681,2303
